ID	Facility	CR	DR
24	"Sherburne County Jail (MN) - Jan. 21, 2021"	Cover Letter	Detention Review Summary Form
25	"Adams County Correctional Center (MS) - Dec. 3, 2020"	Cover Letter	Detention Review Summary Form
26	"Allen Parish Public Safety Complex (LA) - Dec. 9, 2020"	Cover Letter	Detention Review Summary Form
27	"Cibola County Correctional Center (NM) - Dec. 3, 2020"	Cover Letter	Detention Review Summary Form
28	"Eden Detention Center (TX) - Dec. 3, 2020"	Cover Letter	Detention Review Summary Form
29	"El Paso Service Processing Center (TX) - Dec. 3, 2020"	Cover Letter	Detention Review Summary Form
30	"El Valle Detention Facility (TX) - Dec. 10, 2020"	Cover Letter	Detention Review Summary Form
31	"Geauga County Jail (OH) - Dec. 10, 2020"	Cover Letter	Detention Review Summary Form
32	"Howard County Detention Center (MD) - Dec. 9, 2020"	Cover Letter	Detention Review Summary Form
33	"Joe Corley Processing Center (TX) - Dec. 18, 2020"	Cover Letter	Detention Review Summary Form
34	"Monroe County Inmate Dormitory (MI) - Dec. 30, 2020"	Cover Letter	Detention Review Summary Form
35	"Montgomery Processing Center (TX) - Dec. 16, 2020"	Cover Letter	Detention Review Summary Form
36	"Northwest Contract Detention Center (WA) - Dec. 17, 2020"	Cover Letter	Detention Review Summary Form
37	"Plymouth County Correctional Facility (MA) - Dec. 30, 2020"	Cover Letter	Detention Review Summary Form
38	"Robert A. Deyton Detention Center (GA) - Dec. 17, 2020"	Cover Letter	Detention Review Summary Form
39	"South Louisiana ICE Processing Center (LA) - Dec. 11, 2020"	Cover Letter	Detention Review Summary Form
40	"Strafford County Corrections (NH) - Dec. 10, 2020"	Cover Letter	Detention Review Summary Form
41	"York County Prison (PA) - Dec. 11, 2020"	Cover Letter	Detention Review Summary Form
42	"Yuba County Jail (CA) - Dec. 30, 2020"	Cover Letter	Detention Review Summary Form
43	"Adelanto ICE Processing Center - East (CA) - Nov. 20, 2020"	Cover Letter	Detention Review Summary Form
44	"Adelanto ICE Processing Center - West (CA) - Nov. 18, 2020"	Cover Letter	Detention Review Summary Form
45	"Baker County Detention Center (FL) - Nov. 5, 2020"	Cover Letter	Detention Review Summary Form
46	"Bristol County Jail and House of Correction (MA) - Nov. 18, 2020"	Cover Letter	Detention Review Summary Form
47	"CCA Florence Correctional Center (AZ) - Nov. 6, 2020"	Cover Letter	Detention Review Summary Form
48	"Clinton County Correctional Facility (PA) - Nov. 25, 2020"	Cover Letter	Detention Review Summary Form
49	"Donald W. Wyatt Detention Center (RI) - Oct. 28, 2020"	Cover Letter	Detention Review Summary Form
50	"Florence SPC (AZ) - Nov. 4, 2020"	Cover Letter	Detention Review Summary Form
51	"Hardin County Jail (IA) - Nov. 11, 2020"	Cover Letter	Detention Review Summary Form
52	"Henderson Detention Center (NV) - Nov. 20, 2020"	Cover Letter	Detention Review Summary Form
53	"Jackson Parish Correctional Center (LA) - Nov. 20, 2020"	Cover Letter	Detention Review Summary Form
54	"Jerome Combs Detention Center (IL) - Nov. 25, 2020"	Cover Letter	Detention Review Summary Form
55	"La Palma Correctional Center (AZ) - Nov. 5, 2020"	Cover Letter	Detention Review Summary Form
56	"Morgan County Adult Detention Center (MO) - Nov. 11, 2020"	Cover Letter	Detention Review Summary Form
57	"Nye County Detention Center (NV) - Nov. 4, 2020"	Cover Letter	Detention Review Summary Form
58	"Pine Prairie ICE Processing Center (LA) - Nov. 5, 2020"	Cover Letter	Detention Review Summary Form
59	"San Luis Regional Detention Center (AZ) - Nov. 25, 2020"	Cover Letter	Detention Review Summary Form
60	"Bluebonnet Detention Center (TX) - Oct. 23, 2020"	Cover Letter	Detention Review Summary Form
61	"Catahoula Correctional Center (LA) - Nov. 9, 2020"	Cover Letter	Detention Review Summary Form
62	"Clay County Justice Center (IN) - Oct. 15, 2020"	Cover Letter	Detention Review Summary Form
63	"Desert View Annex (CA) - Oct. 29, 2020"	Cover Letter	Detention Review Summary Form
64	"Dodge County Detention Facility (AK) - Oct. 29, 2020"	Cover Letter	Detention Review Summary Form
65	"East Hidalgo Detention Center (TX) - Oct. 3, 2020"	Cover Letter	Detention Review Summary Form
66	"Essex County Correctional Facility (NJ) - Oct. 9, 2020"	Cover Letter	Detention Review Summary Form
67	"Etowah County Jail (AL) - Oct. 23, 2020"	Cover Letter	Detention Review Summary Form
68	"Folkston ICE Processing Center Annex (GA) - Oct. 9, 2020"	Cover Letter	Detention Review Summary Form
69	"Folkston ICE Processing Center (GA) - Oct. 7, 2020"	Cover Letter	Detention Review Summary Form
70	"Golden State Annex (GA) - Oct. 16, 2020"	Cover Letter	Detention Review Summary Form
71	"Hudson County Corrections and Rehabilitation Center (NJ) - Oct. 7, 2020"	Cover Letter	Detention Review Summary Form
72	"Jena LaSalle Detention Facility (LA) - Oct. 7, 2020"	Cover Letter	Detention Review Summary Form
73	"Kay County Detention Center (OK) - Oct. 15, 2020"	Cover Letter	Detention Review Summary Form
74	"Laredo Processing Center (TX) - Oct. 23, 2020"	Cover Letter	Detention Review Summary Form
75	"LaSalle County Regional Detention Center (TX) - Oct. 21, 2020"	Cover Letter	Detention Review Summary Form
76	"Mesa Verde ICE Processing Facility (CA) - Oct. 14, 2020"	Cover Letter	Detention Review Summary Form
77	"Orange County Jail (NY) - Oct. 30, 2020"	Cover Letter	Detention Review Summary Form
78	"Pike County Correctional Facility (PA) - Oct. 28, 2020"	Cover Letter	Detention Review Summary Form
79	"Richwood Correcrtional Center (LA) - Oct. 21, 2020"	Cover Letter	Detention Review Summary Form
80	"Rolling Plains Detention Center (TX) - Oct. 21, 2020"	Cover Letter	Detention Review Summary Form
81	"Teller County Jail (CO) - Oct. 29, 2020"	Cover Letter	Detention Review Summary Form
82	"Wakulla County Detention Facility (FL) - Oct. 8, 2020"	Cover Letter	Detention Review Summary Form
83	"Washoe County Detention Centerr (NV) - Oct. 15, 2020"	Cover Letter	Detention Review Summary Form
84	"Willacy County Regional Detention Facility (TX) - Oct. 7, 2020"	Cover Letter	Detention Review Summary Form
85	"Winn Correctional Center (LA) - Oct. 19, 2020"	Cover Letter	Detention Review Summary Form
86	"Broward Transitional Center (FL) - Sep. 24, 2020"	Cover Letter	Detention Review Summary Form
87	"Caroline Detention Facility (VA) - Sep. 17, 2020"	Cover Letter	Detention Review Summary Form
88	"Elizabeth Contract Detention Facility (NJ) - Sep. 17, 2020"	Cover Letter	Detention Review Summary Form
89	"Freeborn County Adult Detention Center (MN) - Sep. 10, 2020"	Cover Letter	Detention Review Summary Form
90	"Hall County Department of Corrections (NE) - Sep. 17, 2020"	Cover Letter	Detention Review Summary Form
91	"Irwin County Detention Center (GA) - Sep. 25, 2020"	Cover Letter	Detention Review Summary Form
92	"Johnson County Corrections Center (TX) - Sep. 17, 2020"	Cover Letter	Detention Review Summary Form
93	"Limestone County Detention Center (TX) - Oct. 1, 2020"	Cover Letter	Detention Review Summary Form
94	"McHenry County Adult Correctional Facility (IL) - Oct. 1, 2020"	Cover Letter	Detention Review Summary Form
95	"Okmulgee County Jail - Moore Detention Facility (OK) - Oct. 1, 2020"	Cover Letter	Detention Review Summary Form
96	"Saint Clair County Jail (MI) - Oct. 1, 2020"	Cover Letter	Detention Review Summary Form
97	"Stewart Detention Center (GA) - Sep. 24, 2020"	Cover Letter	Detention Review Summary Form
98	"Torrance County Detention Facility (NM) - Oct. 1, 2020"	Cover Letter	Detention Review Summary Form
99	"West Texas Detention Facility (TX) - Sep. 29, 2020"	Cover Letter	Detention Review Summary Form
100	"Boone County Jail (KY) - Mar. 5, 2020"	Cover Letter	Detention Review Summary Form
101	"Calhoun County Correctional Center (MI) - Mar. 5, 2020"	Cover Letter	Detention Review Summary Form
102	"Dorchester County Detention Center (MD) - Mar. 19, 2020"	Cover Letter	
103	"Glades County Detention Center (FL) - Mar. 5, 2020"	Cover Letter	Detention Review Summary Form
104	"Pulaski County Detention Center (IL) - Mar. 12, 2020"	Cover Letter	Detention Review Summary Form
105	"Rio Grande Processing Center (TX) - Mar. 12, 2020"	Cover Letter	Detention Review Summary Form
106	"River Correctional Center (LA) - Mar. 12, 2020"	Cover Letter	Detention Review Summary Form
107	"Bergen County Jail (NJ) - Feb. 27, 2020"	Cover Letter	Detention Review Summary Form
108	"Brooks County Detention Center (TX) - Feb. 21, 2020"	Cover Letter	Detention Review Summary Form
109	"Eloy Detention Center (AZ) - Feb. 6, 2020"	Cover Letter	Detention Review Summary Form
110	"Farmville Detention Center (CA) - Feb. 27, 2020"	Cover Letter	Detention Review Summary Form
111	"Karnes County Residential Center (TX) - Feb. 25, 2020"		Compliance Inspection Report
112	"Krome Service Procesing Center (FL) - Feb. 13, 2020"	Cover Letter	Detention Review Summary Form
113	"Prairieland Detention Center (TX) - Feb. 13, 2020"	Cover Letter	Detention Review Summary Form
114	"South Texas Family Residential Center (TX) - Feb. 12, 2020"		Compliance Inspection Report
115	"South Texas ICE Processing Center (TX) - Feb. 27, 2020"	Cover Letter	Detention Review Summary Form
116	"Tulsa County Jail - David L. Moss Criminal Jutice Center (OK) - Feb. 21, 2020"	Cover Letter	Detention Review Summary Form
117	"Webb County Detention Facility (TX) - Feb. 6, 2020"	Cover Letter	Detention Review Summary Form
118	"Coastal Bend Detention Center (TX) - Jan. 9, 2020"	Cover Letter	Detention Review Summary Form
119	"DeKalb County Detention Facility (GA) - Jan. 30, 2020"	Cover Letter	
120	"Houston CDF (TX) - Jan. 9, 2020"	Cover Letter	Detention Review Summary Form
121	"Imperial Regional Detention Facility (CA) - Jan. 16, 2020"	Cover Letter	Detention Review Summary Form
122	"Karnes County Residential Center (TX) - Jan. 21, 2020"		Compliance Inspection Report
123	"Otay Mesa Detention Facility (CA) - Jan. 24, 2020"	Cover Letter	Detention Review Summary Form
124	"Otero County Processing Center (NM) - Jan. 30, 2020"	Cover Letter	Detention Review Summary Form
125	"Polk County Adult Detention Center (TX) - Jan. 9, 2020"	Cover Letter	Detention Review Summary Form
126	"Port Isabel Service Processing Center (TX) - Jan. 30, 2020"	Cover Letter	Detention Review Summary Form
127	"South Texas Family Residential Center (TX) - Jan. 7, 2020"		Compliance Inspection Report
128	"Western Tennessee Detention Facility (TN) - Jan. 16, 2020"	Cover Letter	Detention Review Summary Form
129	"Allen Parish Public Safety Complex (LA) - Dec. 5, 2019"	Cover Letter	Detention Review Summary Form
130	"Berks County Residential Center (TX) - Dec. 17, 2019"		Compliance Inspection Report
131	"Bossier Parish Corrections Center (LA) - Dec. 5, 2019"	Cover Letter	Detention Review Summary Form
132	"Carver County Jail (MN) - Dec. 5, 2019"	Cover Letter	Detention Review Summary Form
133	"El Paso Service Processing Center (TX) - Dec. 12, 2019"	Cover Letter	Detention Review Summary Form
134	"Karnes County Family Residential Center (TX) - Dec. 3, 2019"		Compliance Inspection Report
135	"Karnes County Residential Center (TX) - Dec. 5, 2019"		Deep Dive Compliance Inspection
136	"Montgomery Processing Center (TX) - Dec. 19, 2019"	Cover Letter	Detention Review Summary Form
137	"Platte County Detention Center (MO) - Dec. 12, 2019"	Cover Letter	Detention Review Summary Form
138	"Robert A. Deyton Correctional Center (GA) - Dec. 5, 2019"	Cover Letter	Detention Review Summary Form
139	"Sheriff Al Cannon Detention Center (SC) - Dec. 12, 2019"	Cover Letter	Detention Review Summary Form
140	"Strafford County Corrections (NH) - Dec. 12, 2019"	Cover Letter	Detention Review Summary Form
141	"Adams County Correctional Center (MS) - Nov. 21, 2019"	Cover Letter	Detention Review Summary Form
142	"Adelanto ICE Processing Center - East (CA) - Nov. 21, 2019"	Cover Letter	Detention Review Summary Form
143	"Adelanto ICE Processing Center West (CA) - Nov. 21, 2019"	Cover Letter	Detention Review Summary Form
144	"Alamance County Jail (NC) - Nov. 7, 2019"	Cover Letter	Detention Review Summary Form
145	"Aurora ICE Processing Center (CO) - Nov. 27, 2019"	Cover Letter	Detention Review Summary Form
146	"Aurora ICE Processing Center II - Annex (CO) - Nov. 27, 2019"	Cover Letter	Detention Review Summary Form
147	"Berks County Residential Center (TX) - Nov. 12, 2019"		Compliance Inspection Report
148	"Cambria County Prison (PA) - Nov. 7, 2019"	Cover Letter	Detention Review Summary Form
149	"Jackson Parish Correctional Center (LA) - Nov. 7, 2019"	Cover Letter	Detention Review Summary Form
150	"Joe Corley Detention Facility (TX) - Nov. 15, 2019"	Cover Letter	Detention Review Summary Form
151	"Karnes County Residential Center (TX) - Nov. 6, 2019"		Compliance Inspection Report
152	"LaSalle Correctional Center (LA) - Nov. 15, 2019"	Cover Letter	Detention Review Summary Form
153	"Montgomery County Jail (MO) - Nov. 7, 2019"	Cover Letter	Detention Review Summary Form
154	"Sherburne County Jail (MN) - Nov. 15, 2019"	Cover Letter	Detention Review Summary Form
155	"South Louisiana ICE Processing Center (LA) - Nov. 7, 2019"	Cover Letter	Detention Review Summary Form
156	"South Texas Family Residential Center (TX) - Nov. 12, 2019"		Compliance Inspection Report
157	"Yuba County Jail (CA) - Nov. 15, 2019"	Cover Letter	Detention Review Summary Form
158	"Berks County Residential Center (PA) - Oct. 17, 2019"		Compliance Inspection Report
159	"Broward Transitional Center (FL) - Oct. 31, 2019"	Cover Letter	Detention Review Summary Form
160	"Douglas County Department of Corrections (NE) - Oct. 24, 2019"	Cover Letter	Detention Review Summary Form
161	"El Valle Detention Facility (TX) - Oct. 24, 2019"	Cover Letter	Detention Review Summary Form
162	"Elizabeth Contract Detention Facility (NJ) - Oct. 3, 2019"	Cover Letter	Detention Review Summary Form
163	"Geauga County Jail (OH) - Oct. 10, 2019"	Cover Letter	Detention Review Summary Form
164	"Kay County Detention Center (OK) - Oct. 24, 2019"	Cover Letter	Detention Review Summary Form
165	"Limestone County Detention Center (TX) - Oct. 24, 2019"	Cover Letter	Detention Review Summary Form
166	"Northern Oregon Correctional Facility (OR) - Oct. 31, 2019"	Cover Letter	Detention Review Summary Form
167	"River Correctional Center (LA) - Oct. 24, 2019"	Cover Letter	Detention Review Summary Form
168	"Richwood Correctional Center (LA) - Oct. 3, 2019"	Cover Letter	Detention Review Summary Form
169	"Seneca County Jail (OH) - Oct. 3, 2019"	Cover Letter	Detention Review Summary Form
170	"South Texas Family Residential Center (TX) - Oct. 31, 2019"		Compliance Inspection Report
171	"Wakulla County Detention Facility (FL) - Oct. 18, 2019"	Cover Letter	Detention Review Summary Form
172	"Winn Correctional Center (LA) - Oct. 10, 2019"	Cover Letter	Detention Review Summary Form
173	"York County Prison (PA) - Oct. 18, 2019"	Cover Letter	Detention Review Summary Form
174	"Berks County Residential Center (PA) - Sep. 3, 2019"		Compliance Inspection Report
175	"Cass County Jail (NE) - Sep. 19, 2019"	Cover Letter	Detention Review Summary Form
176	"Clinton County Correctional Facility (PA) - Sep. 26, 2019"	Cover Letter	Detention Review Summary Form
177	"East Hidalgo Detention Center (TX) - Sep. 6, 2019"	Cover Letter	Detention Review Summary Form
178	"Essex County Corrections Facility (NJ) - Sep. 26, 2019"	Cover Letter	Detention Review Summary Form
179	"Hardin County Jail (IA) - Sep. 12, 2019"	Cover Letter	Detention Review Summary Form
180	"Karnes County Residential Center (TX) - Sep. 25, 2019"		Compliance Inspection Report
181	"LaSalle ICE Processing Center (LA) - Sep. 26, 2019"	Cover Letter	Detention Review Summary Form
182	"Okmulgee County Jail-Moore Detention Facility (OK) - Sep. 19, 2019"	Cover Letter	Detention Review Summary Form
183	"Shawnee County Department of Corrections - Adult Detention Center (KS) - Sep. 6, 2019"	Cover Letter	Detention Review Summary Form
184	"T. Don Hutto Residential Center (TX) - Sep. 12, 2019"		Compliance Inspection Report
185	"Val Verde Correctional Facility (TX) - Sep. 19, 2019"	Cover Letter	Detention Review Summary Form
186	"Willacy County Regional Detention Facility (TX) - Sep. 12, 2019"	Cover Letter	Detention Review Summary Form
187	"Catahoula Correctional Center (LA) - Aug. 22, 2019"	Cover Letter	Detention Review Summary Form
188	"Central Arizona Florence Correctional Complex (AZ) - Aug. 29, 2019"	Cover Letter	Detention Review Summary Form
189	"Howard County Detention Center (MD) - Aug. 29, 2019"	Cover Letter	Detention Review Summary Form
190	"Johnson County Corrections Center (TX) - Aug. 22, 2019"	Cover Letter	Detention Review Summary Form
191	"Karnes County Residential Center (TX) - Aug. 15, 2019"		Compliance Inspection Report
192	"Monroe County Inmate Dormitory (MI) - Aug. 15, 2019"	Cover Letter	Detention Review Summary Form
193	"Rolling Plains Detention Center (TX) - Aug. 8, 2019"	Cover Letter	Detention Review Summary Form
194	"South Texas Family Residential Center (TX) - Aug. 19, 2019"		Compliance Inspection Report
195	"Tallahatchie County Correctional Facility (MS) - Aug. 15, 2019"	Cover Letter	Detention Review Summary Form
196	"T. Don Hutto Residential Center (TX) - Aug. 27, 2019"		Compliance Inspection Report
197	"Teller County Jail (CO) - Aug. 22, 2019"	Cover Letter	
198	"West Texas Detention Facility (TX) - Aug. 8, 2019"	Cover Letter	Detention Review Summary Form
199	"Worcester County Jail (MD) - Aug. 15, 2019"	Cover Letter	Detention Review Summary Form
200	"Chase County Detention Center (KS) - Jul. 11, 2019"	Cover Letter	Detention Review Summary Form
201	"Etowah County Jail (AL) - Jul. 18, 2019"	Cover Letter	Detention Review Summary Form
202	"Frederick County Detention Center (MD) - Jul. 11, 2019"	Cover Letter	Detention Review Summary Form
203	"Hall County Department of Corrections (NE) - Jul. 11, 2019"	Cover Letter	Detention Review Summary Form
204	"Henderson Detention Center (NV) - Jul. 18, 2019"	Cover Letter	Detention Review Summary Form
205	"Kandiyohi County Jail (MN) - Jul. 11, 2019"	Cover Letter	Detention Review Summary Form
206	"Karnes County Residential Center (TX) - Jul. 30, 2019"		Compliance Inspection Report
207	"Monroe County Jail (FL) - Aug. 1, 2019"	Cover Letter	Detention Review Summary Form
208	"Natchitoches Parish Detention Center (LA) - Jul. 3, 2019"	Cover Letter	Detention Review Summary Form
209	"Nevada Southern Detention Center (NV) - Jul. 25, 2019"	Cover Letter	Detention Review Summary Form
210	"Phelps County Jail (NE) - Jul. 18, 2019"	Cover Letter	Detention Review Summary Form
211	"Polk County Jail (IA) - Aug. 1, 2019"	Cover Letter	Detention Review Summary Form
212	"South Texas Family Residential Center (TX) - Jul. 30, 2019"		Compliance Inspection Report
213	"Berks Family Residential Center (PA) - Jun. 25, 2019"		Compliance Inspection Report
214	"Folkston ICE Processing Center (GA) - Jun. 6, 2019"	Cover Letter	Detention Review Summary Form
215	"Folkston ICE Processing Center Annex (GA) - Jun. 6, 2019"	Cover Letter	Detention Review Summary Form
216	"Irwin County Detention Center (GA) - Jun. 13, 2019"	Cover Letter	Detention Review Summary Form
217	"Karnes County Residential Center (TX) - Jun. 11, 2019"		Compliance Inspection Report
218	"Kenosha County Detention Center (WI) - Jun. 6, 2019"	Cover Letter	Detention Review Summary Form
219	"La Palma Correctional Center (AZ) - Jun. 27, 2019"	Cover Letter	Detention Review Summary Form
220	"Laredo Processing Center (TX) - Jun. 6, 2019"	Cover Letter	Detention Review Summary Form
221	"Linn County Correctional Center (IA) - Jun. 20, 2019"	Cover Letter	Detention Review Summary Form
222	"McHenry County Adult Correctional Facility (IL) - Jun. 13, 2019"	Cover Letter	Detention Review Summary Form
223	"Mesa Verde Detention Facility (CA) - Jun. 27, 2019"	Cover Letter	Detention Review Summary Form
224	"Plymouth County Correctional Facility (MA) - Jun. 13, 2019"	Cover Letter	Detention Review Summary Form
225	"St. Clair County Jail (MI) - Jun. 20, 2019"	Cover Letter	Detention Review Summary Form
226	"South Texas Family Residential Center (TX) - Jun. 25, 2019"		Compliance Inspection Report
227	"Baker County Detention Center (FL) - May 31, 2019"	Cover Letter	Detention Review Summary Form
228	"Bristol County Jail and House of Correction (MA) - May 16, 2019"	Cover Letter	Detention Review Summary Form
229	"Cibola County Correctional Center (NM) - May 9, 2019"	Cover Letter	Detention Review Summary Form
230	"Clay County Jail (IN) - May 31, 2019"	Cover Letter	Detention Review Summary Form
231	"Hudson County Corrections and Rehabilitation Center (NJ) - May 9, 2019"	Cover Letter	Detention Review Summary Form
232	"Northwest Detention Center (WA) - May 16, 2019"	Cover Letter	Detention Review Summary Form
233	"Stewart Detention Center (GA) - May 9, 2019"	Cover Letter	Detention Review Summary Form
234	"Suffolk County House of Correction (MA) - May 16, 2019"	Cover Letter	Detention Review Summary Form
235	"Buffalo (Batavia) Service Processing Center (NY) - Apr. 4, 2019"	Cover Letter	Detention Review Summary Form
236	"Dodge County Detention Facility (WI) - Apr. 18, 2019"	Cover Letter	Detention Review Summary Form
237	"Florence Service Processing Center (AZ) - Apr. 11, 2019"	Cover Letter	Detention Review Summary Form
238	"Freeborn County Adult Detention Center (MN) - Apr. 18, 2019"	Cover Letter	Detention Review Summary Form
239	"Jerome Combs Detention Center (IL) - Apr. 11, 2019"	Cover Letter	Detention Review Summary Form
240	"Orange County Jail (NY) - Apr. 18, 2019"	Cover Letter	Detention Review Summary Form
241	"Pike County Correctional Facility (PA) - Apr. 25, 2019"	Cover Letter	Detention Review Summary Form
242	"Pine Prairie ICE Processing Center (LA) - Apr. 25, 2019"	Cover Letter	Detention Review Summary Form
243	"Donald W. Wyatt Detention Facility (RI) - Apr. 11, 2019"	Cover Letter	Detention Review Summary Form
244	"Boone County Jail (KY) - Mar. 7, 2019"	Cover Letter	Detention Review Summary Form
245	"Calhoun County Correctional Center (MI) - Mar. 7, 2019"	Cover Letter	Detention Review Summary Form
246	"Chippewa County Correctional Facility (MI) - Mar. 29, 2019"	Cover Letter	Detention Review Summary Form
247	"Glades County Detention Center (FL) - Mar. 14, 2019"	Cover Letter	Detention Review Summary Form
248	"Northeast Ohio Correctional Center (OH) - Mar. 21, 2019"	Cover Letter	Detention Review Summary Form
249	"Pulaski County Detention Center (IL) - Mar. 14, 2019"	Cover Letter	Detention Review Summary Form
250	"Rio Grande Detention Center (TX) - Mar. 14, 2019"	Cover Letter	Detention Review Summary Form
251	"Tulsa County Jail (David L. Moss Criminal Justice Center) (OK) - Mar. 14, 2019"	Final Recommendation	See the January 2019 entry for the initial reports
252	"Allen Parish Detention Facility (LA) - Feb. 14, 2019"	Cover Letter	Detention Review Summary Form
253	"Bergen County Jail (NJ) - Feb. 28, 2019"	Cover Letter	Detention Review Summary Form
254	"Brooks County Detention Center (TX) - Feb. 21, 2019"	Cover Letter	Detention Review Summary Form
255	"Eloy Detention Center (AZ) - Feb. 7, 2019"	Cover Letter	Detention Review Summary Form
256	"Immigration Centers of America - Farmville (VA) - Feb. 28, 2019"	Cover Letter	Detention Review Summary Form
257	"Krome SPC (FL) - Feb. 14, 2019"	Cover Letter	Detention Review Summary Form
258	"Morgan County Adult Detention Center (MO) - Feb. 21, 2019"	Cover Letter	Detention Review Summary Form
259	"Prairieland Detention Center (TX) - Feb. 14, 2019"	Cover Letter	Detention Review Summary Form
260	"South Texas Detention Complex (TX) - Feb. 28, 2019"	Cover Letter	Detention Review Summary Form
261	"Webb County Detention Center (TX) - Feb. 7, 2019"	Cover Letter	Detention Review Summary Form
262	"Bossier Parish Corrections Center (LA) - Jan. 29 - 31, 2019"	Cover Letter	Detention Review Summary Form
263	"Coastal Bend Detention Facility (TX) - Jan. 10, 2019"	Cover Letter	Detention Review Summary Form
264	"Houston Contract Detention Facility (TX) - Jan. 10, 2019"	Cover Letter	Detention Review Summary Form
265	"IAH Secure Adult Detention Facility (Polk) (TX) - Jan. 10, 2019"	Cover Letter	Detention Review Summary Form
266	"Imperial Regional Detention Facility (CA) - Jan. 17, 2019"	Cover Letter	Detention Review Summary Form
267	"Otay Mesa Detention Center (CA) - Jan. 25, 2019"	Cover Letter	Detention Review Summary Form
268	"Otero County Processing Center (NM) - Jan. 31, 2019"	Cover Letter	Detention Review Summary Form
269	"Port Isabel Service Processing Center (TX) - Jan. 31, 2019"	Cover Letter	Detention Review Summary Form
270	"Tulsa County Jail (David L. Moss Justice Center) (OK) - Jan. 25, 2019"	Cover Letter	Detention Review Summary Form
271	"El Paso Service Processing Center (TX) - Dec. 13, 2018"	Cover Letter	Detention Review Summary Form
272	"El Valle Detention Facility (TX) - Dec. 6, 2018"	Cover Letter	Detention Review Summary Form
273	"Kandiyohi County Jail (MN) - Dec. 6, 2018"	Cover Letter	Detention Review Summary Form
274	"Morgan County Adult Detention Center (MO) - Dec. 6, 2018"	Cover Letter	Detention Review Summary Form
275	"Montgomery Processing Center (TX) - Dec. 20, 2018"	Cover Letter	Detention Review Summary Form
276	"Northern Oregon Correctional Facility (OR) - Dec. 13, 2018"	Cover Letter	Detention Review Summary Form
277	"River Correctional Center (LA) - Dec. 6, 2018"	Cover Letter	Detention Review Summary Form
278	"Strafford County Department of Corrections (DE) - Dec. 13, 2018"	Cover Letter	Detention Review Summary Form
279	"Wakulla County Detention Facility (FL) - Dec. 13, 2018"	Cover Letter	Detention Review Summary Form
280	"Cache County Jail (UT) - Nov. 8, 2018"	Cover Letter	Detention Review Summary Form
281	"Cambria County Prison (PA) - Nov. 8, 2018"	Cover Letter	Detention Review Summary Form
282	"Sheriff Al Cannon Detention Center (SC) - Nov. 29, 2018"	Cover Letter	Detention Review Summary Form
283	"Clinton County Correctional Facility (PA) - Nov. 8, 2018"	Cover Letter	Detention Review Summary Form
284	"Geauga County Jail (OH) - Nov. 29, 2018"	Cover Letter	Detention Review Summary Form
285	"Howard County Detention Center (MD) - Nov. 29, 2018"	Cover Letter	Detention Review Summary Form
286	"Joe Corley Detention Facility (TX) - Nov. 16, 2018"	Cover Letter	Detention Review Summary Form
287	"Sherburne County Jail (MN) - Nov. 16, 2018"	Cover Letter	Detention Review Summary Form
